Latitude;Longitude;Temp;SA;Specific Humidity at 2 Meters;RH;Eff;Output
-0.02869;116.80591;25.9054;4.783;0.019;90.5836;0.0302;0.1444
-0.02869;116.90041;25.9054;4.783;0.019;90.5836;0.0302;0.1444
-0.02869;116.99491;25.9054;4.783;0.019;90.5836;0.0302;0.1444
-0.02869;117.08941;26.7996;4.6922;0.0188;85.2208;0.0339;0.1589
-0.02869;117.18391;26.7996;4.6922;0.0188;85.2208;0.0339;0.1589
-0.02869;117.27841;26.7996;4.6922;0.0188;85.2208;0.0339;0.1589
-0.02869;117.37291;26.7996;4.6922;0.0188;85.2208;0.0339;0.1589
-0.02869;117.46741;26.7996;4.6922;0.0188;85.2208;0.0339;0.1589
-0.02869;117.56191;27.6687;4.6922;0.0188;81.0631;0.0358;0.1681
-0.02869;117.65641;27.6687;4.6922;0.0188;81.0631;0.0358;0.1681
-0.04019;109.86711;26.2978;4.9919;0.0193;90.0822;0.029;0.1447
-0.04019;109.99021;26.2978;4.9919;0.0193;90.0822;0.029;0.1447
-0.04019;110.11331;26.0038;5.0131;0.0192;90.862;0.0293;0.1467
-0.04019;110.23641;26.0038;5.0131;0.0192;90.862;0.0293;0.1467
-0.04019;110.35951;26.0038;5.0131;0.0192;90.862;0.0293;0.1467
-0.04019;110.48261;26.0038;5.0131;0.0192;90.862;0.0293;0.1467
-0.04019;110.60571;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.04019;110.72881;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.04019;110.85191;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.12089;110.55891;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.12089;110.70721;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.12089;110.85551;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.12089;111.00381;25.5778;4.9237;0.0189;90.7051;0.0316;0.1558
-0.12089;111.15211;25.5778;4.9237;0.0189;90.7051;0.0316;0.1558
-0.12089;111.30041;25.5778;4.9237;0.0189;90.7051;0.0316;0.1558
-0.12089;111.44871;25.5778;4.9237;0.0189;90.7051;0.0316;0.1558
-0.12089;111.59701;25.6646;4.9237;0.0189;90.5975;0.0314;0.1545
-0.12089;111.74531;25.6646;4.9237;0.0189;90.5975;0.0314;0.1545
-0.12089;111.89361;25.6646;4.9237;0.0189;90.5975;0.0314;0.1545
-0.12089;112.04191;25.1641;4.8987;0.0186;90.8887;0.0334;0.1638
-0.12089;112.19021;25.1641;4.8987;0.0186;90.8887;0.0334;0.1638
-0.12089;112.33851;25.1641;4.8987;0.0186;90.8887;0.0334;0.1638
-0.12089;112.48681;25.1641;4.8987;0.0186;90.8887;0.0334;0.1638
-0.12089;112.63511;24.4598;4.8987;0.0182;91.2601;0.0364;0.1783
-0.12089;112.78341;24.4598;4.8987;0.0182;91.2601;0.0364;0.1783
-0.12089;112.93171;24.4598;4.8987;0.0182;91.2601;0.0364;0.1783
-0.12089;113.08001;24.0202;4.9441;0.0179;91.5617;0.0381;0.1885
-0.12089;113.22831;24.0202;4.9441;0.0179;91.5617;0.0381;0.1885
-0.12089;113.37661;24.0202;4.9441;0.0179;91.5617;0.0381;0.1885
-0.12089;113.52491;24.3979;4.9441;0.0182;91.805;0.0359;0.1773
-0.12089;113.67321;24.3979;4.9441;0.0182;91.805;0.0359;0.1773
-0.12089;113.82151;24.3979;4.9441;0.0182;91.805;0.0359;0.1773
-0.12089;113.96981;24.3979;4.9441;0.0182;91.805;0.0359;0.1773
-0.12089;114.11811;24.5806;4.963;0.0183;91.6828;0.0351;0.1744
-0.12089;114.26641;24.5806;4.963;0.0183;91.6828;0.0351;0.1744
-0.12089;114.41471;24.5806;4.963;0.0183;91.6828;0.0351;0.1744
-0.12089;114.56301;24.9443;4.963;0.0185;91.6053;0.0334;0.166
-0.12089;114.71131;24.9443;4.963;0.0185;91.6053;0.0334;0.166
-0.12089;114.85961;24.9443;4.963;0.0185;91.6053;0.0334;0.166
-0.12089;115.00791;25.3459;4.9113;0.0188;91.539;0.0315;0.1549
-0.12089;115.15621;25.3459;4.9113;0.0188;91.539;0.0315;0.1549
-0.12089;115.30451;25.3459;4.9113;0.0188;91.539;0.0315;0.1549
-0.12089;115.45281;25.3459;4.9113;0.0188;91.539;0.0315;0.1549
-0.12089;115.60111;25.694;4.9113;0.019;91.3228;0.0301;0.1479
-0.12089;115.74941;25.694;4.9113;0.019;91.3228;0.0301;0.1479
-0.12089;115.89771;25.694;4.9113;0.019;91.3228;0.0301;0.1479
-0.12089;116.04601;25.947;4.783;0.0191;90.6696;0.0298;0.1428
-0.12089;116.19431;25.947;4.783;0.0191;90.6696;0.0298;0.1428
-0.12089;116.34261;25.947;4.783;0.0191;90.6696;0.0298;0.1428
-0.15599;116.80591;25.9054;4.783;0.019;90.5836;0.0302;0.1444
-0.15599;116.90041;25.9054;4.783;0.019;90.5836;0.0302;0.1444
